전출지,전입지,계
서울,경남 함안군,92
서울,경남 창녕군,72
서울,경남 고성군,105
서울,경남 남해군,101
서울,경남 하동군,79
서울,경남 산청군,76
서울,경남 함양군,116
서울,경남 거창군,169
서울,경남 합천군,74
서울,제주,4132
서울,제주 제주시,2848
서울,제주 서귀포시,1284
서울,강원,9850
서울,강원 춘천시,2073
서울,강원 원주시,2274
서울,강원 강릉시,1247
서울,강원 동해시,405
서울,강원 태백시,131
서울,강원 속초시,584
서울,강원 삼척시,398
서울,강원 홍천군,504
서울,강원 횡성군,359
서울,강원 영월군,225
서울,강원 평창군,305
서울,강원 정선군,176
서울,강원 철원군,255
서울,강원 화천군,155
서울,강원 양구군,136
서울,강원 인제군,213
서울,강원 고성군,181
서울,강원 양양군,229
서울,전북,6198
서울,전북 전주시,2334
서울,전북 군산시,794
서울,전북 익산시,986
서울,전북 정읍시,360
서울,전북 남원시,271
서울,전북 김제시,272
서울,전북 완주군,358
서울,전북 진안군,84
서울,전북 무주군,75
서울,전북 장수군,72
서울,전북 임실군,80
서울,전북 순창군,97
서울,전북 고창군,230
서울,전북 부안군,185
서울 종로구,전국,10188
서울 종로구,서울,6362
서울 종로구,서울 종로구,986
서울 종로구,서울 중구,237
서울 종로구,서울 용산구,197
서울 종로구,서울 성동구,199
서울 종로구,서울 광진구,161
서울 종로구,서울 동대문구,393
서울 종로구,서울 중랑구,115
서울 종로구,서울 성북구,655
서울 종로구,서울 강북구,198
서울 종로구,서울 도봉구,139
서울 종로구,서울 노원구,145
서울 종로구,서울 은평구,344
서울 종로구,서울 서대문구,492
서울 종로구,서울 마포구,290
서울 종로구,서울 양천구,88
서울 종로구,서울 강서구,149
서울 종로구,서울 구로구,89
서울 종로구,서울 금천구,59
서울 종로구,서울 영등포구,213
서울 종로구,서울 동작구,151
서울 종로구,서울 관악구,233
서울 종로구,서울 서초구,202
서울 종로구,서울 강남구,268
서울 종로구,서울 송파구,192
서울 종로구,서울 강동구,167
서울 종로구,부산,187
서울 종로구,부산 중구,0
서울 종로구,부산 서구,3
서울 종로구,부산 동구,8
서울 종로구,부산 영도구,5
서울 종로구,부산 부산진구,16
서울 종로구,부산 동래구,12
서울 종로구,부산 남구,9
서울 종로구,부산 북구,11
서울 종로구,부산 해운대구,28
서울 종로구,부산 사하구,21
서울 종로구,부산 금정구,18
서울 종로구,부산 강서구,7
서울 종로구,부산 연제구,10
서울 종로구,부산 수영구,20
서울 종로구,부산 사상구,5
서울 종로구,부산 기장군,14
서울 종로구,대구,132
서울 종로구,대구 중구,7
서울 종로구,대구 동구,16
서울 종로구,대구 서구,6
서울 종로구,대구 남구,3
서울 종로구,대구 북구,17
서울 종로구,대구 수성구,38
서울 종로구,대구 달서구,31
서울 종로구,대구 달성군,11
서울 종로구,대구 군위군,3
서울 종로구,인천,307
서울 종로구,인천 중구,36
서울 종로구,인천 동구,1
서울 종로구,인천 미추홀구,41
서울 종로구,인천 연수구,59
서울 종로구,인천 남동구,39
서울 종로구,인천 부평구,46
서울 종로구,인천 계양구,22
서울 종로구,인천 서구,54
서울 종로구,인천 강화군,7
서울 종로구,인천 옹진군,2
서울 종로구,광주,86
서울 종로구,광주 동구,10
서울 종로구,광주 서구,28
서울 종로구,광주 남구,7
서울 종로구,광주 북구,26
서울 종로구,광주 광산구,15
서울 종로구,대전,148
서울 종로구,대전 동구,16
서울 종로구,대전 중구,21
서울 종로구,대전 서구,49
서울 종로구,대전 유성구,55
서울 종로구,대전 대덕구,7
서울 종로구,울산,51
서울 종로구,울산 중구,11
서울 종로구,울산 남구,23
서울 종로구,울산 동구,8
서울 종로구,울산 북구,5
서울 종로구,울산 울주군,4
서울 종로구,세종,56
서울 종로구,세종,56
서울 종로구,경기,1902
서울 종로구,경기 수원시,140
서울 종로구,경기 성남시,146
서울 종로구,경기 의정부시,76
서울 종로구,경기 안양시,83
서울 종로구,경기 부천시,76
서울 종로구,경기 광명시,50
서울 종로구,경기 평택시,63
서울 종로구,경기 동두천시,14
서울 종로구,경기 안산시,59
서울 종로구,경기 고양시,243
서울 종로구,경기 과천시,14
서울 종로구,경기 구리시,25
서울 종로구,경기 남양주시,109
서울 종로구,경기 오산시,25
서울 종로구,경기 시흥시,32
서울 종로구,경기 군포시,30
서울 종로구,경기 의왕시,21
서울 종로구,경기 하남시,53
서울 종로구,경기 용인시,156
서울 종로구,경기 파주시,109
서울 종로구,경기 이천시,28
서울 종로구,경기 안성시,22
서울 종로구,경기 김포시,62
서울 종로구,경기 화성시,92
서울 종로구,경기 광주시,32
서울 종로구,경기 양주시,57
서울 종로구,경기 포천시,23
서울 종로구,경기 여주시,16
서울 종로구,경기 연천군,1
서울 종로구,경기 가평군,11
서울 종로구,경기 양평군,34
서울 종로구,충북,98
서울 종로구,충북 청주시,59
서울 종로구,충북 충주시,10
서울 종로구,충북 제천시,10
서울 종로구,충북 보은군,2
서울 종로구,충북 옥천군,1
서울 종로구,충북 영동군,2
서울 종로구,충북 증평군,1
서울 종로구,충북 진천군,6
서울 종로구,충북 괴산군,2
서울 종로구,충북 음성군,5
서울 종로구,충북 단양군,0
서울 종로구,충남,169
서울 종로구,충남 천안시,61
서울 종로구,충남 공주시,8
서울 종로구,충남 보령시,7
서울 종로구,충남 아산시,26
서울 종로구,충남 서산시,14
서울 종로구,충남 논산시,8
서울 종로구,충남 계룡시,5
서울 종로구,충남 당진시,9
서울 종로구,충남 금산군,1
서울 종로구,충남 부여군,6
서울 종로구,충남 서천군,5
서울 종로구,충남 청양군,1
서울 종로구,충남 홍성군,8
서울 종로구,충남 예산군,3
서울 종로구,충남 태안군,7
서울 종로구,전남,96
서울 종로구,전남 목포시,13
서울 종로구,전남 여수시,13
서울 종로구,전남 순천시,14
서울 종로구,전남 나주시,12
서울 종로구,전남 광양시,8
서울 종로구,전남 담양군,0
서울 종로구,전남 곡성군,1
서울 종로구,전남 구례군,2
서울 종로구,전남 고흥군,7
서울 종로구,전남 보성군,0
서울 종로구,전남 화순군,0
서울 종로구,전남 장흥군,0
서울 종로구,전남 강진군,1
서울 종로구,전남 해남군,2
서울 종로구,전남 영암군,2
서울 종로구,전남 무안군,3
서울 종로구,전남 함평군,2
서울 종로구,전남 영광군,4
서울 종로구,전남 장성군,1
서울 종로구,전남 완도군,2
서울 종로구,전남 진도군,3
서울 종로구,전남 신안군,6
서울 종로구,경북,113
서울 종로구,경북 포항시,17
서울 종로구,경북 경주시,14
서울 종로구,경북 김천시,5
서울 종로구,경북 안동시,11
서울 종로구,경북 구미시,17
서울 종로구,경북 영주시,4
서울 종로구,경북 영천시,4
서울 종로구,경북 상주시,5
서울 종로구,경북 문경시,5
서울 종로구,경북 경산시,11
서울 종로구,경북 의성군,1
서울 종로구,경북 청송군,1
서울 종로구,경북 영양군,0
서울 종로구,경북 영덕군,3
서울 종로구,경북 청도군,0
서울 종로구,경북 고령군,0
서울 종로구,경북 성주군,2
서울 종로구,경북 칠곡군,6
서울 종로구,경북 예천군,3
서울 종로구,경북 봉화군,2
서울 종로구,경북 울진군,2
서울 종로구,경북 울릉군,0
서울 종로구,경남,126
서울 종로구,경남 창원시,35
서울 종로구,경남 진주시,20
서울 종로구,경남 통영시,4
서울 종로구,경남 사천시,2
서울 종로구,경남 김해시,15
서울 종로구,경남 밀양시,2
서울 종로구,경남 거제시,14
서울 종로구,경남 양산시,14
서울 종로구,경남 의령군,0
서울 종로구,경남 함안군,3
서울 종로구,경남 창녕군,1
서울 종로구,경남 고성군,2
서울 종로구,경남 남해군,1
서울 종로구,경남 하동군,2
서울 종로구,경남 산청군,3
서울 종로구,경남 함양군,2
서울 종로구,경남 거창군,4
서울 종로구,경남 합천군,2
서울 종로구,제주,85
서울 종로구,제주 제주시,55
서울 종로구,제주 서귀포시,30
서울 종로구,강원,151
서울 종로구,강원 춘천시,31
