,자치구,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월
18,강서구,354394.0,354894.0,355500.0,355955.0,355955.0,356348.0,357212.0,358932.0,360720.0,362432.0,364606.0,366773.0,368455.0,370045.0,371361.0,371898.0,372452.0,373545.0,491452.0,495426.0,498676.0,501691.0,503936.0,506701.0,506690.0,506289.0,504662.0,503485.0,503162.0,502572.0,501598.0,500660.0,497899.0,491897.0,480339.0,460145.0,433234.0,414901.0,400328.0,396769.0,395381.0,395259.0,396133.0,398163.0,400994.0,404981.0,409209.0,411693.0,412913.0,413345.0,414454.0,415598.0,417244.0,419463.0,423000.0,426623.0,429146.0,430783.0,431932.0,432593.0,432888.0,433339.0,434419.0,442215.0,443423.0,444680.0,446751.0,448464.0,449650.0
19,구로구,340212.0,340907.0,341822.0,342161.0,342534.0,343424.0,344492.0,346559.0,348678.0,350839.0,352932.0,355585.0,358415.0,360542.0,361856.0,362797.0,363653.0,365246.0,421051.0,423385.0,426186.0,428658.0,431477.0,433559.0,433990.0,433598.0,432902.0,432588.0,432293.0,432060.0,431400.0,430412.0,428234.0,423650.0,410007.0,389535.0,367773.0,354015.0,348728.0,345170.0,344048.0,344353.0,344484.0,346525.0,349189.0,352230.0,354435.0,356412.0,356901.0,357602.0,359535.0,360897.0,362885.0,365401.0,369488.0,372613.0,374914.0,376010.0,375959.0,375646.0,375211.0,374886.0,374845.0,377425.0,377819.0,378396.0,378779.0,379799.0,380658.0
20,금천구,318000.0,318308.0,318603.0,318897.0,319141.0,319538.0,320218.0,321923.0,323333.0,324936.0,326872.0,328833.0,329513.0,330308.0,331021.0,331267.0,331423.0,331718.0,380578.0,382647.0,385275.0,388477.0,388934.0,389283.0,389260.0,388950.0,388764.0,388523.0,388267.0,387903.0,387518.0,386447.0,384571.0,379974.0,368027.0,344734.0,323863.0,308400.0,300422.0,298474.0,298880.0,299304.0,299940.0,301664.0,303782.0,305883.0,308339.0,310339.0,312786.0,313686.0,315145.0,316330.0,317312.0,319015.0,321566.0,324797.0,326382.0,327308.0,327848.0,327622.0,327298.0,327545.0,327688.0,330019.0,330186.0,331088.0,331610.0,332357.0,332892.0
21,영등포구,419390.0,416805.0,417432.0,417898.0,417881.0,417992.0,419085.0,420864.0,422814.0,424398.0,426297.0,430364.0,432424.0,433771.0,434864.0,435593.0,436322.0,437949.0,581962.0,585631.0,589997.0,594935.0,598348.0,600900.0,601213.0,601148.0,601274.0,601343.0,601700.0,601357.0,600826.0,599060.0,596225.0,589769.0,574438.0,552414.0,532101.0,511813.0,497811.0,495065.0,495016.0,497350.0,499177.0,502914.0,506033.0,509871.0,514352.0,517360.0,519845.0,521614.0,523078.0,524458.0,526442.0,529768.0,537450.0,543717.0,549085.0,552666.0,554548.0,555160.0,555756.0,556644.0,558480.0,557585.0,559008.0,562048.0,564663.0,566892.0,568659.0
22,동작구,474885.0,477317.0,478394.0,479288.0,480452.0,481663.0,483548.0,487750.0,490154.0,492490.0,499058.0,504962.0,509846.0,514548.0,517606.0,519663.0,519971.0,528260.0,640281.0,646234.0,651562.0,656388.0,659353.0,661602.0,661052.0,660166.0,659047.0,659097.0,659639.0,659587.0,659164.0,658119.0,653726.0,646368.0,624770.0,597899.0,571060.0,535783.0,523574.0,522134.0,523328.0,524527.0,525437.0,527172.0,528882.0,531764.0,536565.0,539683.0,543029.0,544499.0,546395.0,549668.0,552564.0,556419.0,561480.0,565879.0,567531.0,568794.0,568992.0,568461.0,567874.0,568456.0,570827.0,585042.0,586185.0,590551.0,593264.0,595069.0,597190.0
23,관악구,337141.0,337728.0,338163.0,338598.0,338783.0,339380.0,340424.0,342880.0,346087.0,348207.0,350935.0,355674.0,360033.0,362837.0,364957.0,366630.0,367880.0,370359.0,472391.0,475782.0,478828.0,480299.0,480741.0,481034.0,481247.0,481184.0,480931.0,480724.0,480305.0,480029.0,479615.0,478489.0,475121.0,468592.0,455793.0,430851.0,414756.0,398461.0,385094.0,380933.0,379500.0,379222.0,379278.0,380706.0,382483.0,384072.0,384539.0,384656.0,380705.0,380989.0,381710.0,382251.0,382945.0,384929.0,387847.0,390727.0,392306.0,393158.0,394169.0,394131.0,393738.0,393639.0,393650.0,404738.0,405278.0,406396.0,406866.0,407674.0,408866.0
24,동남권,663838.0,666618.0,667976.0,668422.0,670067.0,672734.0,677905.0,684864.0,690470.0,694068.0,704259.0,714145.0,722060.0,727843.0,733282.0,733858.0,734064.0,747357.0,925512.0,933192.0,940907.0,947863.0,952442.0,955117.0,955584.0,954918.0,954659.0,954206.0,958762.0,959300.0,958967.0,956439.0,948544.0,930943.0,902265.0,858474.0,814577.0,785621.0,771122.0,767282.0,770944.0,773759.0,776994.0,782576.0,788217.0,792822.0,798494.0,801854.0,807234.0,806635.0,807444.0,808709.0,811165.0,815014.0,821068.0,827725.0,832988.0,837164.0,839190.0,840180.0,840618.0,842473.0,845268.0,858756.0,860332.0,863274.0,866075.0,868728.0,874494.0
25,서초구,856349.0,862240.0,864651.0,864589.0,863541.0,866329.0,872822.0,880610.0,887658.0,891664.0,904007.0,917507.0,926658.0,934041.0,937288.0,939630.0,939726.0,977356.0,1081912.0,1092018.0,1104106.0,1111128.0,1116791.0,1119795.0,1120088.0,1119568.0,1120311.0,1119956.0,1139161.0,1140253.0,1139832.0,1137810.0,1132832.0,1117440.0,1079960.0,1027040.0,989396.0,960842.0,948322.0,939780.0,936381.0,934531.0,935729.0,937648.0,940696.0,944722.0,949147.0,953989.0,958237.0,959464.0,962831.0,964766.0,968324.0,973065.0,983428.0,995090.0,1004086.0,1009928.0,1014054.0,1018349.0,1019450.0,1022734.0,1024058.0,1057498.0,1055336.0,1050537.0,1044852.0,1042272.0,1050106.0
26,강남구,769973.0,772140.0,774435.0,776656.0,777645.0,779565.0,785301.0,792038.0,797349.0,801285.0,812801.0,823027.0,832344.0,840016.0,852043.0,852091.0,852102.0,856366.0,1131300.0,1139405.0,1148018.0,1156946.0,1162847.0,1166855.0,1168145.0,1167557.0,1167515.0,1166783.0,1166898.0,1168277.0,1168554.0,1166042.0,1159307.0,1146428.0,1120367.0,1070078.0,1017777.0,971807.0,946163.0,939542.0,945407.0,948852.0,950639.0,954949.0,960431.0,963289.0,966898.0,968861.0,982551.0,981696.0,982670.0,985842.0,987795.0,992690.0,998429.0,1006616.0,1012289.0,1018604.0,1023967.0,1026229.0,1026643.0,1027384.0,1028327.0,1023579.0,1025304.0,1027974.0,1029506.0,1031015.0,1032035.0
27,송파구,564010.0,566679.0,566834.0,565818.0,570890.0,575117.0,579416.0,586656.0,592643.0,596221.0,605844.0,614435.0,621734.0,625357.0,628019.0,628221.0,628974.0,637903.0,828310.0,835523.0,840783.0,847368.0,850433.0,852285.0,852381.0,851409.0,850201.0,849594.0,849520.0,849133.0,848378.0,844573.0,831372.0,803492.0,773074.0,732214.0,709826.0,687692.0,673994.0,674640.0,683491.0,690415.0,696570.0,707338.0,715784.0,722927.0,732966.0,738040.0,741256.0,739332.0,739041.0,738750.0,742376.0,746382.0,751782.0,757344.0,762324.0,764862.0,763624.0,762321.0,762641.0,765329.0,771321.0,795082.0,798243.0,803906.0,812371.0,820056.0,830088.0
28,강동구,398940.0,398866.0,399269.0,399821.0,400388.0,401560.0,405500.0,411284.0,414858.0,417388.0,423470.0,430209.0,435164.0,439261.0,441082.0,440858.0,440627.0,444560.0,570056.0,574819.0,579413.0,583904.0,587386.0,588868.0,588864.0,588346.0,587913.0,587975.0,587935.0,587888.0,587364.0,586038.0,580520.0,568051.0,548730.0,521470.0,492546.0,476743.0,473785.0,472875.0,474524.0,476209.0,479763.0,484229.0,489237.0,493468.0,497520.0,498874.0,497144.0,496658.0,495919.0,496002.0,496345.0,497615.0,500227.0,500824.0,501824.0,503532.0,503204.0,501955.0,501852.0,502500.0,505073.0,509383.0,512748.0,520894.0,527152.0,530387.0,534533.0
