,자치구,2020년 1월,2020년 2월,2020년 3월,2020년 4월,2020년 5월,2020년 6월,2020년 7월,2020년 8월,2020년 9월,2020년 10월,2020년 11월,2020년 12월,2021년 1월,2021년 2월,2021년 3월,2021년 4월,2021년 5월,2021년 6월,2021년 7월,2021년 8월,2021년 9월,2021년 10월,2021년 11월,2021년 12월,2022년 1월,2022년 2월,2022년 3월,2022년 4월,2022년 5월,2022년 6월,2022년 7월,2022년 8월,2022년 9월,2022년 10월,2022년 11월,2022년 12월,2023년 1월,2023년 2월,2023년 3월,2023년 4월,2023년 5월,2023년 6월,2023년 7월,2023년 8월,2023년 9월,2023년 10월,2023년 11월,2023년 12월,2024년 1월,2024년 2월,2024년 3월,2024년 4월,2024년 5월,2024년 6월,2024년 7월,2024년 8월,2024년 9월,2024년 10월,2024년 11월,2024년 12월,2025년 1월,2025년 2월,2025년 3월,2025년 4월,2025년 5월,2025년 6월,2025년 7월,2025년 8월,2025년 9월
19,구로구,553669.0,555398.0,557297.0,559042.0,560483.0,562559.0,570017.0,573797.0,576415.0,577288.0,578212.0,579432.0,581500.0,584275.0,586347.0,587924.0,589737.0,593008.0,665836.0,671066.0,677414.0,683172.0,688553.0,691352.0,691836.0,691471.0,690980.0,690512.0,690299.0,689727.0,688158.0,685617.0,680965.0,672807.0,660494.0,646449.0,632059.0,622121.0,616590.0,611662.0,609689.0,609240.0,609527.0,610873.0,612322.0,614453.0,613842.0,611709.0,607073.0,606329.0,605370.0,605732.0,606199.0,608907.0,615061.0,621016.0,624146.0,625134.0,625685.0,625496.0,624890.0,624939.0,625150.0,629429.0,631291.0,633968.0,638876.0,641911.0,644276.0
20,금천구,514411.0,514666.0,515526.0,516397.0,516756.0,517782.0,521923.0,524231.0,525885.0,526526.0,527038.0,527949.0,528897.0,531090.0,532372.0,533577.0,534910.0,538564.0,638543.0,641853.0,646434.0,651938.0,654875.0,654588.0,654596.0,654286.0,653968.0,653751.0,653247.0,652860.0,651526.0,648759.0,643053.0,633891.0,619515.0,601626.0,585453.0,572464.0,563983.0,560270.0,559429.0,559205.0,560370.0,562339.0,565455.0,568013.0,568912.0,567734.0,568590.0,567390.0,567405.0,567547.0,567880.0,570100.0,572666.0,576976.0,580053.0,581372.0,581965.0,582234.0,581569.0,581346.0,581712.0,584780.0,585151.0,586226.0,589037.0,591038.0,591606.0
21,영등포구,811102.0,805448.0,806083.0,806032.0,805485.0,806553.0,815280.0,820331.0,823466.0,824356.0,825407.0,827110.0,829424.0,835983.0,839661.0,843220.0,848780.0,856695.0,1139713.0,1147357.0,1156448.0,1163800.0,1168135.0,1170000.0,1170574.0,1170152.0,1169109.0,1168952.0,1169404.0,1169435.0,1168826.0,1165004.0,1159461.0,1147522.0,1123074.0,1091696.0,1070780.0,1058257.0,1048057.0,1045624.0,1045702.0,1048424.0,1053616.0,1058249.0,1065829.0,1073384.0,1078576.0,1079045.0,1074336.0,1073588.0,1074484.0,1076524.0,1080220.0,1088724.0,1106164.0,1124144.0,1133212.0,1139772.0,1143900.0,1145848.0,1147028.0,1148740.0,1159208.0,1160286.0,1167988.0,1188933.0,1215976.0,1224139.0,1234349.0
22,동작구,835058.0,836250.0,837442.0,837192.0,836577.0,837298.0,844644.0,847923.0,849327.0,849827.0,850404.0,851606.0,854606.0,860038.0,865644.0,870644.0,876106.0,888529.0,1065149.0,1074886.0,1085873.0,1095958.0,1103453.0,1108527.0,1109109.0,1108637.0,1107632.0,1107612.0,1108303.0,1108537.0,1107891.0,1106129.0,1099881.0,1091726.0,1071955.0,1043861.0,1034242.0,1016322.0,1010569.0,1010540.0,1012896.0,1013924.0,1014763.0,1017427.0,1018829.0,1021261.0,1021275.0,1018611.0,1017568.0,1017028.0,1018249.0,1020751.0,1023746.0,1028315.0,1044221.0,1060709.0,1067319.0,1070817.0,1072113.0,1071878.0,1071009.0,1073164.0,1082700.0,1103676.0,1111731.0,1135699.0,1151338.0,1156375.0,1164264.0
23,관악구,510957.0,511435.0,512663.0,514283.0,515196.0,516554.0,523196.0,526967.0,530511.0,531663.0,533272.0,536359.0,539489.0,545370.0,549120.0,551587.0,553707.0,558848.0,745299.0,753247.0,759655.0,765529.0,766920.0,766994.0,767126.0,766649.0,765925.0,765460.0,764816.0,764517.0,763195.0,760713.0,754408.0,745213.0,731362.0,711747.0,699150.0,686217.0,676300.0,671156.0,669389.0,669267.0,670306.0,673072.0,674922.0,677567.0,678133.0,676811.0,667667.0,666022.0,664443.0,664568.0,665328.0,668186.0,671656.0,675022.0,676984.0,677546.0,678743.0,678863.0,678443.0,678508.0,679393.0,694243.0,695316.0,697982.0,702661.0,705543.0,708624.0
24,동남권,1443392.0,1441301.0,1436376.0,1423316.0,1413039.0,1415192.0,1432391.0,1437751.0,1439654.0,1440154.0,1440954.0,1446299.0,1455206.0,1466751.0,1469797.0,1479261.0,1491855.0,1517575.0,1745838.0,1764430.0,1789004.0,1810205.0,1826114.0,1834068.0,1835017.0,1833987.0,1834313.0,1836549.0,1829539.0,1829688.0,1828891.0,1824659.0,1814171.0,1791563.0,1758249.0,1718178.0,1671769.0,1659986.0,1658138.0,1658434.0,1671197.0,1686204.0,1697530.0,1714014.0,1727181.0,1734292.0,1735499.0,1732806.0,1731068.0,1729349.0,1730685.0,1736421.0,1743605.0,1760031.0,1800761.0,1845643.0,1874157.0,1889912.0,1899959.0,1905080.0,1908754.0,1932949.0,1994695.0,2027681.0,2060064.0,2143627.0,2184836.0,2204256.0,2223047.0
25,서초구,1775269.0,1776966.0,1770507.0,1750110.0,1731616.0,1732849.0,1751014.0,1757795.0,1759164.0,1759747.0,1761322.0,1771322.0,1783411.0,1797521.0,1807781.0,1818192.0,1834199.0,1873390.0,1983714.0,2006381.0,2035696.0,2060762.0,2084527.0,2094883.0,2096275.0,2096253.0,2097930.0,2102201.0,2070784.0,2073128.0,2075300.0,2073652.0,2068883.0,2055557.0,2032095.0,1998300.0,1974637.0,1963183.0,1962388.0,1964714.0,1981495.0,1995271.0,2001502.0,2010476.0,2020209.0,2025099.0,2023223.0,2019344.0,2018158.0,2014399.0,2015723.0,2023424.0,2031306.0,2058288.0,2114216.0,2182169.0,2226809.0,2247000.0,2259568.0,2267809.0,2273475.0,2302917.0,2374406.0,2463371.0,2504933.0,2600060.0,2648254.0,2670095.0,2691993.0
26,강남구,1758527.0,1755204.0,1749409.0,1732086.0,1714102.0,1714914.0,1731527.0,1738333.0,1741538.0,1742161.0,1742968.0,1748478.0,1757349.0,1768618.0,1760156.0,1772882.0,1789457.0,1818801.0,2196672.0,2218407.0,2249256.0,2275295.0,2292907.0,2304003.0,2305732.0,2304587.0,2305295.0,2309428.0,2311539.0,2312319.0,2311575.0,2308410.0,2299081.0,2277322.0,2243753.0,2204575.0,2150633.0,2134133.0,2125542.0,2125042.0,2136443.0,2152892.0,2167105.0,2184367.0,2199452.0,2207880.0,2207111.0,2203566.0,2212518.0,2209810.0,2209429.0,2215762.0,2225661.0,2240961.0,2277387.0,2320295.0,2354741.0,2384482.0,2404982.0,2413318.0,2415000.0,2442238.0,2527804.0,2526982.0,2565599.0,2668202.0,2721234.0,2735839.0,2750424.0
27,송파구,1256877.0,1251701.0,1245727.0,1235416.0,1234545.0,1240305.0,1260838.0,1265377.0,1266416.0,1266792.0,1267214.0,1270682.0,1279766.0,1292870.0,1301260.0,1310260.0,1321318.0,1341981.0,1606536.0,1625248.0,1648966.0,1670424.0,1684514.0,1690684.0,1691359.0,1689712.0,1689183.0,1689046.0,1688316.0,1686892.0,1683774.0,1675170.0,1656180.0,1620155.0,1575350.0,1521594.0,1515872.0,1510180.0,1513466.0,1513503.0,1531659.0,1555695.0,1572945.0,1600168.0,1617838.0,1626015.0,1629671.0,1627241.0,1616471.0,1617309.0,1621750.0,1628926.0,1637044.0,1654438.0,1703174.0,1752932.0,1777847.0,1784444.0,1788562.0,1792574.0,1799474.0,1832259.0,1899726.0,1948000.0,1982579.0,2074146.0,2116164.0,2148617.0,2175749.0
28,강동구,787716.0,787881.0,788179.0,787343.0,785164.0,784776.0,796149.0,798575.0,800418.0,800806.0,801209.0,803306.0,807813.0,813870.0,817990.0,821482.0,825448.0,835836.0,988594.0,997388.0,1008121.0,1017067.0,1023500.0,1026442.0,1026094.0,1024893.0,1024241.0,1024603.0,1024768.0,1023576.0,1022424.0,1019768.0,1012853.0,997018.0,968647.0,939335.0,912677.0,898817.0,898032.0,897514.0,900661.0,903303.0,908606.0,918199.0,926677.0,933072.0,937044.0,936422.0,930217.0,928617.0,928075.0,928921.0,930478.0,935498.0,954490.0,970087.0,977838.0,982455.0,983814.0,982731.0,982526.0,985372.0,997087.0,1001485.0,1012792.0,1048192.0,1065185.0,1071160.0,1081129.0
