월(Monthly),구분,시군구,미분양현황
2017-10,광주,남구,28
2017-10,광주,북구,250
2017-10,광주,광산구,218
2017-10,대전,계,854
2017-10,대전,동구,247
2017-10,대전,중구,63
2017-10,대전,서구,185
2017-10,대전,유성구,312
2017-10,대전,대덕구,47
2017-10,울산,계,866
2017-10,울산,중구,118
2017-10,울산,남구,478
2017-10,울산,동구,87
2017-10,울산,북구,165
2017-10,울산,울주군,18
2017-10,경기,계,7,912
2017-10,경기,수원시,7
2017-10,경기,성남시,0
2017-10,경기,의정부시,60
2017-10,경기,안양시,44
2017-10,경기,부천시,44
2017-10,경기,광명시,0
2017-10,경기,평택시,859
2017-10,경기,동두천시,0
2017-10,경기,안산시,72
2017-10,경기,고양시,457
2017-10,경기,과천시,0
2017-10,경기,구리시,105
2017-10,경기,남양주시,916
2017-10,경기,오산시,68
2017-10,경기,시흥시,0
2017-10,경기,군포시,0
2017-10,경기,의왕시,0
2017-10,경기,하남시,18
2017-10,경기,용인시,1,508
2017-10,경기,파주시,18
2017-10,경기,이천시,127
2017-10,경기,안성시,1,701
2017-10,경기,김포시,388
2017-10,경기,양주시,25
2017-10,경기,여주시,0
2017-10,경기,화성시,1,150
2017-10,경기,광주시,330
2017-10,경기,연천군,15
2017-10,경기,포천시,0
2017-10,경기,가평군,0
2017-10,경기,양평군,0
2017-10,강원,계,2,701
2017-10,강원,춘천시,311
2017-10,강원,원주시,618
2017-10,강원,강릉시,335
2017-10,강원,동해시,850
2017-10,강원,태백시,13
2017-10,강원,속초시,12
2017-10,강원,삼척시,81
2017-10,강원,홍천군,20
2017-10,강원,횡성군,97
2017-10,강원,영월군,25
2017-10,강원,평창군,138
2017-10,강원,정선군,151
2017-10,강원,철원군,0
2017-10,강원,화천군,6
2017-10,강원,양구군,0
2017-10,강원,인제군,0
2017-10,강원,고성군,44
2017-10,강원,양양군,0
2017-10,충북,계,4,652
2017-10,충북,청주시,1,633
2017-10,충북,충주시,793
2017-10,충북,제천시,405
2017-10,충북,보은군,446
2017-10,충북,옥천군,182
2017-10,충북,영동군,25
2017-10,충북,증평군,0
2017-10,충북,진천군,451
2017-10,충북,괴산군,0
2017-10,충북,음성군,717
2017-10,충북,단양군,0
2017-10,충남,계,11,309
2017-10,충남,천안시,4,774
2017-10,충남,공주시,430
2017-10,충남,보령시,286
2017-10,충남,아산시,860
2017-10,충남,서산시,1,417
2017-10,충남,논산시,349
2017-10,충남,계룡시,60
2017-10,충남,당진시,535
2017-10,충남,금산군,0
2017-10,충남,부여군,492
2017-10,충남,서천군,142
2017-10,충남,청양군,0
2017-10,충남,홍성군,186
2017-10,충남,예산군,1,545
2017-10,충남,태안군,233
2017-10,세종,계,0
2017-10,세종,세종시,0
2017-10,전북,계,1,964
2017-10,전북,전주시,464
2017-10,전북,군산시,809
2017-10,전북,익산시,162
2017-10,전북,정읍시,114
2017-10,전북,남원시,0
2017-10,전북,김제시,178
2017-10,전북,완주군,192
2017-10,전북,진안군,0
2017-10,전북,무주군,0
2017-10,전북,장수군,0
2017-10,전북,임실군,45
2017-10,전북,순창군,0
2017-10,전북,고창군,0
2017-10,전북,부안군,0
2017-10,전남,계,728
2017-10,전남,목포시,79
2017-10,전남,여수시,4
2017-10,전남,순천시,60
2017-10,전남,나주시,148
2017-10,전남,광양시,277
2017-10,전남,담양군,0
2017-10,전남,곡성군,0
2017-10,전남,구례군,0
2017-10,전남,고흥군,68
2017-10,전남,보성군,0
2017-10,전남,화순군,0
2017-10,전남,장흥군,0
2017-10,전남,강진군,0
2017-10,전남,해남군,58
2017-10,전남,영암군,19
2017-10,전남,무안군,15
2017-10,전남,함평군,0
2017-10,전남,영광군,0
2017-10,전남,장성군,0
2017-10,전남,완도군,0
2017-10,전남,진도군,0
2017-10,전남,신안군,0
2017-10,경북,계,8,065
2017-10,경북,포항시,2,061
2017-10,경북,경주시,1,320
2017-10,경북,김천시,1,503
2017-10,경북,안동시,232
2017-10,경북,구미시,1,143
2017-10,경북,영주시,0
2017-10,경북,영천시,277
2017-10,경북,상주시,1
2017-10,경북,문경시,0
2017-10,경북,경산시,446
2017-10,경북,군위군,0
2017-10,경북,의성군,14
2017-10,경북,청송군,0
2017-10,경북,영양군,0
2017-10,경북,영덕군,0
2017-10,경북,청도군,128
2017-10,경북,고령군,0
2017-10,경북,성주군,5
2017-10,경북,칠곡군,419
2017-10,경북,예천군,516
2017-10,경북,봉화군,0
2017-10,경북,울진군,0
2017-10,경북,울릉군,0
2017-10,경남,계,11,257
2017-10,경남,창원시,5,387
2017-10,경남,진주시,212
2017-10,경남,통영시,274
2017-10,경남,사천시,1,523
2017-10,경남,김해시,1,346
2017-10,경남,밀양시,220
2017-10,경남,거제시,1,841
2017-10,경남,양산시,177
2017-10,경남,의령군,155
2017-10,경남,함안군,0
2017-10,경남,창녕군,71
2017-10,경남,고성군,0
2017-10,경남,남해군,0
2017-10,경남,하동군,0
2017-10,경남,산청군,39
2017-10,경남,함양군,5
2017-10,경남,거창군,7
2017-10,경남,합천군,0
2017-10,제주,계,1,056
2017-10,제주,제주시,786
2017-10,제주,서귀포시,270
2017-11,서울,계,68
2017-11,서울,종로구,1
2017-11,서울,중구,0
2017-11,서울,용산구,0
2017-11,서울,성동구,0
2017-11,서울,광진구,0
2017-11,서울,동대문구,0
2017-11,서울,중랑구,0
2017-11,서울,성북구,0
2017-11,서울,강북구,0
2017-11,서울,도봉구,2
2017-11,서울,노원구,0
2017-11,서울,은평구,0
2017-11,서울,서대문구,0
2017-11,서울,마포구,0
2017-11,서울,양천구,3
2017-11,서울,강서구,0
2017-11,서울,구로구,38
2017-11,서울,금천구,0
2017-11,서울,영등포구,0
2017-11,서울,동작구,0
2017-11,서울,관악구,0
2017-11,서울,서초구,16
2017-11,서울,강남구,0
2017-11,서울,송파구,8
2017-11,서울,강동구,0
2017-11,부산,계,1,593
2017-11,부산,중구,0
2017-11,부산,서구,99
2017-11,부산,동구,84
2017-11,부산,영도구,0
2017-11,부산,부산진구,372
2017-11,부산,동래구,10
2017-11,부산,남구,14
2017-11,부산,북구,0
2017-11,부산,해운대구,55
2017-11,부산,사하구,211
2017-11,부산,금정구,76
2017-11,부산,강서구,141
2017-11,부산,연제구,8
2017-11,부산,수영구,52
2017-11,부산,사상구,29
2017-11,부산,기장군,442
2017-11,대구,계,125
2017-11,대구,중구,0
2017-11,대구,동구,62
2017-11,대구,서구,19
2017-11,대구,남구,0
2017-11,대구,북구,0
2017-11,대구,수성구,0
2017-11,대구,달서구,0
2017-11,대구,달성군,44
2017-11,인천,계,1,751
2017-11,인천,중구,1,247
2017-11,인천,남동구,0
2017-11,인천,서구,128
2017-11,인천,연수구,0
2017-11,인천,남구,368
2017-11,인천,동구,0
2017-11,인천,부평구,8
2017-11,인천,계양구,0
2017-11,인천,강화군,0
2017-11,인천,옹진군,0
2017-11,광주,계,796
2017-11,광주,동구,226
2017-11,광주,서구,42
2017-11,광주,남구,152
2017-11,광주,북구,241
2017-11,광주,광산구,135
2017-11,대전,계,1,062
2017-11,대전,동구,244
2017-11,대전,중구,62
2017-11,대전,서구,351
2017-11,대전,유성구,263
2017-11,대전,대덕구,142
2017-11,울산,계,849
2017-11,울산,중구,112
2017-11,울산,남구,471
2017-11,울산,동구,84
2017-11,울산,북구,164
2017-11,울산,울주군,18
2017-11,경기,계,8,375
2017-11,경기,수원시,7
2017-11,경기,성남시,0
2017-11,경기,의정부시,57
2017-11,경기,안양시,44
2017-11,경기,부천시,41
2017-11,경기,광명시,0
2017-11,경기,평택시,778
2017-11,경기,동두천시,0
2017-11,경기,안산시,176
2017-11,경기,고양시,451
2017-11,경기,과천시,0
2017-11,경기,구리시,103
2017-11,경기,남양주시,1,260
2017-11,경기,오산시,18
2017-11,경기,시흥시,0
2017-11,경기,군포시,0
2017-11,경기,의왕시,0
2017-11,경기,하남시,18
2017-11,경기,용인시,1,241
2017-11,경기,파주시,18
2017-11,경기,이천시,932
2017-11,경기,안성시,1,574
2017-11,경기,김포시,181
2017-11,경기,양주시,24
2017-11,경기,여주시,0
2017-11,경기,화성시,1,095
2017-11,경기,광주시,284
2017-11,경기,연천군,14
2017-11,경기,포천시,0
2017-11,경기,가평군,0
2017-11,경기,양평군,59
2017-11,강원,계,2,474
2017-11,강원,춘천시,287
2017-11,강원,원주시,468
2017-11,강원,강릉시,323
2017-11,강원,동해시,829
2017-11,강원,태백시,13
2017-11,강원,속초시,60
2017-11,강원,삼척시,61
2017-11,강원,홍천군,20
2017-11,강원,횡성군,94
2017-11,강원,영월군,19
2017-11,강원,평창군,105
2017-11,강원,정선군,146
2017-11,강원,철원군,0
2017-11,강원,화천군,5
2017-11,강원,양구군,0
2017-11,강원,인제군,0
2017-11,강원,고성군,44
2017-11,강원,양양군,0
2017-11,충북,계,5,285
2017-11,충북,청주시,2,434
2017-11,충북,충주시,763
2017-11,충북,제천시,390
2017-11,충북,보은군,431
2017-11,충북,옥천군,163
2017-11,충북,영동군,25
2017-11,충북,증평군,0
2017-11,충북,진천군,387
2017-11,충북,괴산군,0
2017-11,충북,음성군,692
2017-11,충북,단양군,0
2017-11,충남,계,10,624
2017-11,충남,천안시,4,382
2017-11,충남,공주시,417
2017-11,충남,보령시,282
2017-11,충남,아산시,798
2017-11,충남,서산시,1,388
2017-11,충남,논산시,346
2017-11,충남,계룡시,60
2017-11,충남,당진시,535
2017-11,충남,금산군,0
2017-11,충남,부여군,461
2017-11,충남,서천군,122
2017-11,충남,청양군,0
2017-11,충남,홍성군,176
2017-11,충남,예산군,1,444
2017-11,충남,태안군,213
2017-11,세종,계,0
2017-11,세종,세종시,0
2017-11,전북,계,1,895
2017-11,전북,전주시,496
2017-11,전북,군산시,770
2017-11,전북,익산시,118
2017-11,전북,정읍시,103
2017-11,전북,남원시,0
2017-11,전북,김제시,170
2017-11,전북,완주군,186
2017-11,전북,진안군,0
2017-11,전북,무주군,0
2017-11,전북,장수군,0
2017-11,전북,임실군,43
2017-11,전북,순창군,9
2017-11,전북,고창군,0
2017-11,전북,부안군,0
2017-11,전남,계,651
2017-11,전남,목포시,54
2017-11,전남,여수시,0
2017-11,전남,순천시,58
2017-11,전남,나주시,116
2017-11,전남,광양시,267
2017-11,전남,담양군,0
2017-11,전남,곡성군,0
2017-11,전남,구례군,0
2017-11,전남,고흥군,64
2017-11,전남,보성군,0
2017-11,전남,화순군,0
2017-11,전남,장흥군,0
2017-11,전남,강진군,0
2017-11,전남,해남군,58
2017-11,전남,영암군,19
2017-11,전남,무안군,15
2017-11,전남,함평군,0
2017-11,전남,영광군,0
2017-11,전남,장성군,0
2017-11,전남,완도군,0
2017-11,전남,진도군,0
2017-11,전남,신안군,0
2017-11,경북,계,7,794
2017-11,경북,포항시,2,316
2017-11,경북,경주시,1,282
2017-11,경북,김천시,1,510
2017-11,경북,안동시,199
2017-11,경북,구미시,1,122
2017-11,경북,영주시,0
2017-11,경북,영천시,260
2017-11,경북,상주시,0
2017-11,경북,문경시,0
2017-11,경북,경산시,50
2017-11,경북,군위군,0
2017-11,경북,의성군,14
2017-11,경북,청송군,0
2017-11,경북,영양군,0
2017-11,경북,영덕군,0
2017-11,경북,청도군,128
2017-11,경북,고령군,0
2017-11,경북,성주군,4
2017-11,경북,칠곡군,401
2017-11,경북,예천군,508
2017-11,경북,봉화군,0
2017-11,경북,울진군,0
2017-11,경북,울릉군,0
2017-11,경남,계,12,122
2017-11,경남,창원시,5,353
2017-11,경남,진주시,212
2017-11,경남,통영시,1,410
2017-11,경남,사천시,1,441
2017-11,경남,김해시,1,223
2017-11,경남,밀양시,219
2017-11,경남,거제시,1,828
2017-11,경남,양산시,168
2017-11,경남,의령군,148
2017-11,경남,함안군,0
2017-11,경남,창녕군,71
2017-11,경남,고성군,0
2017-11,경남,남해군,0
2017-11,경남,하동군,0
2017-11,경남,산청군,37
2017-11,경남,함양군,5
2017-11,경남,거창군,7
2017-11,경남,합천군,0
2017-11,제주,계,1,183
2017-11,제주,제주시,924
2017-11,제주,서귀포시,259
2017-12,서울,계,45
2017-12,서울,종로구,1
2017-12,서울,중구,0
2017-12,서울,용산구,0
2017-12,서울,성동구,0
