연도,지역,1,2,3,4,5,6,7,8,9,10,11,12,연간 총계,월평균
2007,대구,1842.0,137.0,2558.0,2003.0,1711.0,912.0,227.0,555.0,1111.0,1028.0,1559.0,3130.0,16773.0,1398.0
2007,대전,30.0,57.0,100.0,102.0,130.0,46.0,42.0,421.0,33.0,70.0,2231.0,150.0,3412.0,284.0
2007,부산,365.0,42.0,1366.0,952.0,133.0,3857.0,358.0,117.0,137.0,115.0,6647.0,1454.0,15543.0,1295.0
2007,서울,1441.0,2254.0,3208.0,5636.0,1541.0,2304.0,5935.0,7002.0,2538.0,2481.0,5823.0,2634.0,42797.0,3566.0
2007,세종,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2007,울산,140.0,274.0,321.0,305.0,299.0,1289.0,152.0,1257.0,891.0,166.0,7497.0,929.0,13520.0,1127.0
2007,인천,58.0,62.0,183.0,174.0,929.0,2457.0,7558.0,334.0,1940.0,1210.0,9025.0,1648.0,25578.0,2132.0
2007,전남,230.0,459.0,287.0,349.0,823.0,244.0,277.0,257.0,235.0,347.0,1407.0,945.0,5860.0,488.0
2007,전북,93.0,118.0,1066.0,662.0,370.0,754.0,614.0,718.0,824.0,674.0,320.0,3267.0,9480.0,790.0
2007,제주,122.0,107.0,69.0,128.0,133.0,78.0,84.0,97.0,150.0,445.0,124.0,125.0,1662.0,138.0
2007,충남,1178.0,864.0,3645.0,3194.0,1549.0,953.0,1630.0,3314.0,301.0,898.0,8452.0,7191.0,33169.0,2764.0
2007,충북,2281.0,175.0,447.0,855.0,357.0,1201.0,859.0,342.0,1706.0,468.0,8064.0,3829.0,20584.0,1715.0
2008,강원,548.0,156.0,1940.0,479.0,535.0,404.0,384.0,308.0,353.0,357.0,307.0,306.0,6077.0,506.0
2008,경기,1996.0,3946.0,2898.0,3788.0,4597.0,6438.0,3451.0,6328.0,3320.0,4847.0,3269.0,1614.0,46492.0,3874.0
2008,경남,493.0,372.0,606.0,777.0,824.0,980.0,793.0,901.0,412.0,395.0,407.0,780.0,7740.0,645.0
2008,경북,284.0,255.0,890.0,1629.0,1074.0,1195.0,563.0,620.0,424.0,350.0,358.0,297.0,7939.0,662.0
2008,광주,14.0,10.0,58.0,130.0,194.0,584.0,58.0,25.0,67.0,61.0,26.0,50.0,1277.0,106.0
2008,대구,4819.0,96.0,93.0,71.0,64.0,2027.0,82.0,74.0,85.0,28.0,58.0,47.0,7544.0,629.0
2008,대전,1287.0,181.0,251.0,95.0,1032.0,1952.0,1373.0,147.0,113.0,2359.0,45.0,32.0,8867.0,739.0
2008,부산,159.0,52.0,80.0,111.0,1120.0,105.0,91.0,105.0,51.0,138.0,1823.0,80.0,3915.0,326.0
2008,서울,1552.0,1415.0,3230.0,5397.0,5551.0,4070.0,8072.0,5323.0,1740.0,1096.0,6414.0,3888.0,47748.0,3979.0
2008,세종,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
